,id,categoryName,level,parentId,rankingNo,occupationId,status,Notes
,CT22001,Christian Comedians,3,CT22000,,after_dinner_speaking,active,
,CT22002,Comedians,3,CT22000,,after_dinner_speaking,active,
,CT22003,Comedy Improv Shows,3,CT22000,,after_dinner_speaking,active,
,CT22004,Comedy Magicians,3,CT22000,,after_dinner_speaking,active,
,CT22005,Comedy Shows,3,CT22000,,after_dinner_speaking,active,
,CT22006,Corporate Comedians,3,CT22000,,after_dinner_speaking,active,
,CT22007,Emcees,3,CT22000,,after_dinner_speaking,active,
,CT22008,Impersonators,3,CT22000,,after_dinner_speaking,active,
,CT22009,Impressionists,3,CT22000,,after_dinner_speaking,active,
,CT22010,Musical Comedy Acts,3,CT22000,,after_dinner_speaking,active,
,CT22011,Stand-Up Comedians,3,CT22000,,after_dinner_speaking,active,
,CT22012,Ventriloquists,3,CT22000,,after_dinner_speaking,active,
,CT22013,Other,3,CT22000,,after_dinner_speaking,active,
,CT23000,Dancer,2,CT20000,,dancer,active,
,CT23001,Ballet Dancers,3,CT23000,,dancer,active,
,CT23002,Ballroom Dancers,3,CT23000,,dancer,active,
,CT23003,Belly Dancers,3,CT23000,,dancer,active,
,CT23004,Bollywood Dancers,3,CT23000,,dancer,active,
,CT23005,Break Dancers,3,CT23000,,dancer,active,
,CT23006,Burlesque Entertainers,3,CT23000,,dancer,active,
,CT23007,Choreographers,3,CT23000,,dancer,active,
,CT23008,Dance Instructors,3,CT23000,,dancer,active,
,CT23009,Dance Troupes,3,CT23000,,dancer,active,
,CT23010,Dancers,3,CT23000,,dancer,active,
,CT23011,Fire Dancers,3,CT23000,,dancer,active,
,CT23012,Flamenco Dancers,3,CT23000,,dancer,active,
,CT23013,Hip Hop Dancers,3,CT23000,,dancer,active,
,CT23014,Hula Dancers,3,CT23000,,dancer,active,
,CT23015,Irish Dancers,3,CT23000,,dancer,active,
,CT23016,Jazz Dancers,3,CT23000,,dancer,active,
,CT23017,Latin Dancers,3,CT23000,,dancer,active,
,CT23018,Modern Dancers,3,CT23000,,dancer,active,
,CT23019,Salsa Dancers,3,CT23000,,dancer,active,
,CT23020,Square Dancers,3,CT23000,,dancer,active,
,CT23021,Tango Dancers,3,CT23000,,dancer,active,
,CT23022,Tap Dancers,3,CT23000,,dancer,active,
,CT23023,Other,3,CT23000,,dancer,active,
,CT24000,Speakers,2,CT20000,,after_dinner_speaking,active,
,CT24001,Athletes,3,CT24000,,after_dinner_speaking,active,
,CT24002,Authors,3,CT24000,,after_dinner_speaking,active,
,CT24003,Business Leaders,3,CT24000,,after_dinner_speaking,active,
,CT24004,Corporate Comedians,3,CT24000,,after_dinner_speaking,active,
,CT24005,Corporate Magicians,3,CT24000,,after_dinner_speaking,active,
,CT24006,Hypnotists,3,CT24000,,after_dinner_speaking,active,
,CT24007,Impersonators,3,CT24000,,after_dinner_speaking,active,
,CT24008,Impressionists,3,CT24000,,after_dinner_speaking,active,
,CT24009,Mind Readers,3,CT24000,,after_dinner_speaking,active,
,CT24010,Motivational Speakers,3,CT24000,,after_dinner_speaking,active,
,CT24011,Political Speakers,3,CT24000,,after_dinner_speaking,active,
,CT24012,Spoken Word Artists,3,CT24000,,after_dinner_speaking,active,
,CT24013,Voice Actors,3,CT24000,,after_dinner_speaking,active,
,CT24014,Spoken Word Artists,3,CT24000,,after_dinner_speaking,active,
,CT24015,Other,3,CT24000,,after_dinner_speaking,active,
,CT25000,Other,2,CT20000,,after_dinner_speaking,active,
,CT30000,Photographer / Videographer,1,,,photographers_no_aerial_work,active,
,CT31000,Photographer,2,CT30000,,photographers_no_aerial_work,active,
,CT31100,Event Photographer,3,CT31000,,photographers_no_aerial_work,active,
,CT31200,Wedding Photographer,3,CT31000,,photographers_no_aerial_work,active,
,CT31300,Asian Wedding Photographer,3,CT31000,,photographers_no_aerial_work,active,
,CT31400,Vintage Wedding Photographer,3,CT31000,,photographers_no_aerial_work,active,
,CT31500,Portrait Photographer,3,CT31000,,photographers_no_aerial_work,active,
,CT31600,Other,3,CT31000,,photographers_no_aerial_work,active,
,CT32000,Videographer,2,CT30000,,photographers_no_aerial_work,active,
,CT32100,Event Videographer,3,CT32000,,photographers_no_aerial_work,active,
,CT32200,Wedding Videographer,3,CT32000,,photographers_no_aerial_work,active,
,CT32300,Asian Wedding Videographer,3,CT32000,,photographers_no_aerial_work,active,
,CT32400,Vintage Wedding Videographer,3,CT32000,,photographers_no_aerial_work,active,
,CT32500,Portrait Videographer,3,CT32000,,photographers_no_aerial_work,active,
,CT32600,Other,3,CT32000,,photographers_no_aerial_work,active,
,CT40000,Make up artist,1,,,beauticians_inc_treatment,active,
,CT41000,Bridal Make Up Artist,2,CT40000,,beauticians_inc_treatment,active,
,CT42000,Event Make Up Artist,2,CT40000,,beauticians_inc_treatment,active,
,CT43000,Party Make Up Artist,2,CT40000,,beauticians_inc_treatment,active,
,CT44000,Asian Bridal Make Up Artist,2,CT40000,,beauticians_inc_treatment,active,
,CT45000,Other,2,CT40000,,beauticians_inc_treatment,active,
